Pistachio_Index,tip_Closest_50_1,tip_Closest_50_2,tip_Closest_50_3,tip_Closest_50_4,tip_Closest_50_5,tip_Closest_50_6,tip_Closest_50_7,tip_Closest_50_8,Status,Status Color,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,tip_Farthest_50_1,tip_Farthest_50_2,tip_Farthest_50_3,tip_Farthest_50_4,tip_Farthest_50_5,tip_Farthest_50_6,tip_Farthest_50_7,tip_Farthest_50_8,tip_Closest_30_1,tip_Closest_30_2,tip_Closest_30_3,tip_Closest_30_4,tip_Closest_30_5,tip_Closest_30_6,tip_Closest_30_7,tip_Closest_30_8,tip_Farthest_30_1,tip_Farthest_30_2,tip_Farthest_30_3,tip_Farthest_30_4,tip_Farthest_30_5,tip_Farthest_30_6,tip_Farthest_30_7,tip_Farthest_30_8,tip_Farthest_70_1,tip_Farthest_70_2,tip_Farthest_70_3,tip_Farthest_70_4,tip_Farthest_70_5,tip_Farthest_70_6,tip_Farthest_70_7,tip_Farthest_70_8,tip_Closest_70_1,tip_Closest_70_2,tip_Closest_70_3,tip_Closest_70_4,tip_Closest_70_5,tip_Closest_70_6,tip_Closest_70_7,tip_Closest_70_8
CT3-A7-full_13,0.087,0.0,0.002,0.001,0.885,0.0,0.009,0.016,Filled,#5dde6a,0.459,0.0,0.0,0.0,0.517,0.001,0.003,0.02,0.606,0.0,0.0,0.0,0.371,0.001,0.0,0.022,0.037,0.0,0.004,0.003,0.928,0.0,0.019,0.01,0.781,0.0,0.0,0.0,0.185,0.002,0.0,0.032,0.519,0.0,0.0,0.0,0.458,0.001,0.0,0.022,0.214,0.0,0.001,0.001,0.769,0.0,0.005,0.011
CT3-A7-full_14,0.466,0.0,0.0,0.0,0.114,0.003,0.002,0.415,Filled,#5dde6a,0.388,0.0,0.0,0.0,0.128,0.007,0.001,0.475,0.317,0.0,0.0,0.0,0.14,0.011,0.001,0.531,0.531,0.0,0.0,0.0,0.101,0.005,0.003,0.359,0.377,0.0,0.0,0.0,0.174,0.009,0.0,0.44,0.335,0.0,0.0,0.0,0.138,0.008,0.001,0.519,0.394,0.0,0.0,0.0,0.107,0.006,0.002,0.491
CT3-A7-full_15,0.561,0.0,0.0,0.002,0.412,0.008,0.006,0.012,Filled,#5dde6a,0.649,0.0,0.0,0.001,0.309,0.007,0.006,0.028,0.717,0.0,0.0,0.0,0.229,0.006,0.006,0.04,0.397,0.0,0.0,0.004,0.599,0.0,0.001,0.0,0.671,0.0,0.0,0.001,0.287,0.005,0.005,0.031,0.718,0.0,0.0,0.001,0.229,0.009,0.007,0.035,0.639,0.0,0.0,0.001,0.319,0.008,0.006,0.026
CT3-A7-full_16,0.0,0.0,0.0,0.018,0.979,0.0,0.0,0.003,Filled,#5dde6a,0.422,0.0,0.0,0.003,0.556,0.0,0.001,0.018,0.511,0.0,0.0,0.0,0.467,0.0,0.001,0.022,0.0,0.0,0.002,0.064,0.934,0.0,0.0,0.0,0.663,0.0,0.0,0.0,0.314,0.0,0.0,0.023,0.441,0.0,0.0,0.0,0.539,0.0,0.001,0.019,0.004,0.0,0.0,0.008,0.976,0.0,0.002,0.01
CT3-A7-full_17,0.194,0.0,0.001,0.001,0.644,0.04,0.035,0.086,Filled,#5dde6a,0.436,0.0,0.001,0.001,0.407,0.03,0.022,0.102,0.666,0.0,0.001,0.0,0.184,0.022,0.01,0.118,0.076,0.0,0.001,0.002,0.768,0.03,0.059,0.064,0.74,0.0,0.0,0.0,0.136,0.014,0.01,0.1,0.572,0.0,0.0,0.0,0.272,0.031,0.008,0.117,0.294,0.0,0.001,0.001,0.535,0.038,0.027,0.104
CT3-A7-full_18,0.063,0.001,0.013,0.045,0.808,0.007,0.06,0.003,Filled,#5dde6a,0.335,0.0,0.004,0.014,0.598,0.006,0.018,0.025,0.451,0.0,0.0,0.0,0.508,0.005,0.0,0.035,0.008,0.004,0.037,0.11,0.733,0.0,0.108,0.0,0.51,0.0,0.0,0.0,0.465,0.003,0.0,0.021,0.373,0.0,0.0,0.003,0.582,0.006,0.008,0.028,0.22,0.001,0.006,0.023,0.685,0.007,0.03,0.028
CT3-A7-full_19,0.061,0.0,0.0,0.01,0.658,0.028,0.238,0.005,Filled,#5dde6a,0.5,0.0,0.0,0.004,0.362,0.013,0.091,0.031,0.768,0.0,0.0,0.0,0.181,0.004,0.0,0.046,0.009,0.0,0.0,0.015,0.644,0.027,0.304,0.001,0.855,0.0,0.0,0.0,0.11,0.0,0.0,0.034,0.645,0.0,0.0,0.001,0.278,0.009,0.028,0.04,0.277,0.0,0.0,0.006,0.519,0.022,0.147,0.029
CT3-A7-full_20,0.11,0.0,0.0,0.0,0.872,0.0,0.0,0.017,Filled,#5dde6a,0.182,0.0,0.0,0.0,0.8,0.0,0.0,0.018,0.231,0.0,0.0,0.0,0.751,0.0,0.0,0.018,0.176,0.0,0.0,0.0,0.807,0.0,0.0,0.017,0.271,0.0,0.0,0.0,0.715,0.0,0.0,0.013,0.183,0.0,0.0,0.0,0.799,0.0,0.0,0.018,0.128,0.0,0.0,0.0,0.851,0.0,0.0,0.02
CT3-A7-full_21,0.503,0.0,0.0,0.0,0.399,0.003,0.0,0.094,Filled,#5dde6a,0.678,0.0,0.0,0.0,0.225,0.005,0.0,0.092,0.851,0.0,0.0,0.0,0.052,0.007,0.001,0.089,0.365,0.0,0.0,0.0,0.597,0.0,0.0,0.037,0.804,0.0,0.0,0.0,0.055,0.012,0.001,0.128,0.807,0.0,0.0,0.0,0.07,0.007,0.001,0.114,0.623,0.0,0.0,0.0,0.298,0.002,0.0,0.076
CT3-A7-full_22,0.148,0.002,0.0,0.0,0.832,0.001,0.013,0.003,Filled,#5dde6a,0.492,0.001,0.0,0.0,0.495,0.0,0.005,0.006,0.727,0.0,0.0,0.0,0.265,0.0,0.0,0.008,0.076,0.0,0.0,0.0,0.906,0.0,0.013,0.004,0.84,0.0,0.0,0.0,0.15,0.0,0.0,0.01,0.603,0.001,0.0,0.0,0.386,0.0,0.003,0.006,0.301,0.001,0.0,0.0,0.685,0.0,0.008,0.004
