Pistachio_Index,tip_Closest_50_1,tip_Closest_50_2,tip_Closest_50_3,tip_Closest_50_4,tip_Closest_50_5,tip_Closest_50_6,tip_Closest_50_7,tip_Closest_50_8,Status,Status Color,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,tip_Farthest_50_1,tip_Farthest_50_2,tip_Farthest_50_3,tip_Farthest_50_4,tip_Farthest_50_5,tip_Farthest_50_6,tip_Farthest_50_7,tip_Farthest_50_8,tip_Closest_30_1,tip_Closest_30_2,tip_Closest_30_3,tip_Closest_30_4,tip_Closest_30_5,tip_Closest_30_6,tip_Closest_30_7,tip_Closest_30_8,tip_Farthest_30_1,tip_Farthest_30_2,tip_Farthest_30_3,tip_Farthest_30_4,tip_Farthest_30_5,tip_Farthest_30_6,tip_Farthest_30_7,tip_Farthest_30_8,tip_Farthest_70_1,tip_Farthest_70_2,tip_Farthest_70_3,tip_Farthest_70_4,tip_Farthest_70_5,tip_Farthest_70_6,tip_Farthest_70_7,tip_Farthest_70_8,tip_Closest_70_1,tip_Closest_70_2,tip_Closest_70_3,tip_Closest_70_4,tip_Closest_70_5,tip_Closest_70_6,tip_Closest_70_7,tip_Closest_70_8
CT2-A1-full_1,0.039,0.001,0.001,0.0,0.048,0.002,0.001,0.908,Filled,#5dde6a,0.054,0.0,0.001,0.0,0.073,0.003,0.0,0.868,0.07,0.0,0.0,0.0,0.098,0.005,0.0,0.828,0.039,0.001,0.002,0.001,0.051,0.002,0.001,0.903,0.086,0.0,0.0,0.0,0.135,0.007,0.0,0.771,0.061,0.0,0.0,0.0,0.082,0.004,0.0,0.853,0.041,0.0,0.001,0.0,0.046,0.002,0.001,0.909
CT2-A1-full_2,0.185,0.0,0.0,0.0,0.028,0.001,0.0,0.786,Blank,#dbc381,0.13,0.0,0.0,0.0,0.068,0.013,0.001,0.788,0.075,0.0,0.0,0.0,0.107,0.025,0.003,0.79,0.253,0.0,0.0,0.0,0.022,0.002,0.0,0.723,0.061,0.0,0.0,0.0,0.142,0.041,0.005,0.751,0.077,0.0,0.0,0.0,0.087,0.018,0.002,0.816,0.159,0.0,0.0,0.0,0.036,0.001,0.0,0.804
CT2-A1-full_3,0.159,0.0,0.0,0.0,0.076,0.0,0.0,0.765,Blank,#dbc381,0.132,0.0,0.0,0.0,0.108,0.019,0.0,0.742,0.103,0.0,0.0,0.0,0.141,0.038,0.0,0.718,0.182,0.0,0.0,0.0,0.069,0.0,0.0,0.748,0.083,0.0,0.0,0.0,0.168,0.046,0.0,0.702,0.11,0.0,0.0,0.0,0.125,0.027,0.0,0.739,0.152,0.0,0.0,0.0,0.083,0.007,0.0,0.758
CT2-A1-full_4,0.051,0.0,0.0,0.0,0.08,0.023,0.0,0.845,Filled,#5dde6a,0.069,0.0,0.0,0.0,0.076,0.025,0.0,0.83,0.086,0.0,0.0,0.0,0.072,0.027,0.0,0.815,0.053,0.0,0.0,0.0,0.096,0.016,0.0,0.835,0.101,0.0,0.0,0.0,0.085,0.011,0.0,0.803,0.076,0.0,0.0,0.0,0.067,0.029,0.0,0.828,0.055,0.0,0.0,0.0,0.072,0.031,0.0,0.841
CT2-A1-full_5,0.092,0.0,0.0,0.0,0.05,0.002,0.0,0.855,Filled,#5dde6a,0.079,0.0,0.0,0.0,0.061,0.064,0.002,0.794,0.067,0.0,0.0,0.0,0.071,0.125,0.004,0.733,0.099,0.0,0.0,0.0,0.055,0.004,0.0,0.842,0.062,0.0,0.0,0.0,0.086,0.142,0.004,0.705,0.071,0.0,0.0,0.0,0.063,0.089,0.003,0.773,0.087,0.0,0.0,0.0,0.05,0.03,0.001,0.832
CT2-A1-full_6,0.074,0.0,0.0,0.0,0.059,0.143,0.012,0.711,Filled,#5dde6a,0.088,0.0,0.0,0.0,0.148,0.114,0.007,0.643,0.102,0.0,0.0,0.0,0.237,0.085,0.002,0.573,0.09,0.0,0.0,0.0,0.049,0.065,0.0,0.796,0.128,0.0,0.0,0.0,0.235,0.036,0.004,0.597,0.087,0.0,0.0,0.0,0.191,0.136,0.01,0.576,0.071,0.0,0.0,0.0,0.111,0.147,0.009,0.662
CT2-A1-full_7,0.083,0.0,0.0,0.0,0.037,0.016,0.003,0.861,Filled,#5dde6a,0.063,0.0,0.0,0.0,0.095,0.01,0.001,0.83,0.043,0.0,0.0,0.0,0.153,0.004,0.0,0.8,0.126,0.0,0.0,0.0,0.026,0.019,0.004,0.824,0.057,0.0,0.0,0.0,0.174,0.004,0.0,0.765,0.036,0.0,0.0,0.0,0.125,0.006,0.0,0.833,0.066,0.0,0.0,0.0,0.062,0.013,0.002,0.858
CT2-A1-full_8,0.055,0.0,0.0,0.0,0.087,0.002,0.0,0.856,Filled,#5dde6a,0.061,0.0,0.0,0.0,0.163,0.003,0.0,0.773,0.066,0.0,0.0,0.0,0.239,0.004,0.0,0.691,0.057,0.0,0.0,0.0,0.096,0.004,0.0,0.844,0.07,0.0,0.0,0.0,0.303,0.007,0.0,0.62,0.062,0.0,0.0,0.0,0.192,0.003,0.0,0.743,0.057,0.0,0.0,0.0,0.103,0.002,0.0,0.839
CT2-A1-full_9,0.175,0.0,0.0,0.0,0.03,0.004,0.002,0.789,Blank,#dbc381,0.137,0.0,0.0,0.0,0.062,0.032,0.001,0.768,0.1,0.0,0.0,0.0,0.094,0.059,0.0,0.747,0.184,0.0,0.0,0.0,0.027,0.007,0.003,0.779,0.087,0.0,0.0,0.0,0.128,0.08,0.0,0.705,0.117,0.0,0.0,0.0,0.077,0.042,0.0,0.764,0.159,0.0,0.0,0.0,0.034,0.011,0.001,0.795
CT2-A1-full_10,0.079,0.0,0.0,0.0,0.032,0.01,0.0,0.879,Blank,#dbc381,0.055,0.0,0.0,0.0,0.059,0.023,0.0,0.862,0.03,0.0,0.0,0.0,0.088,0.038,0.0,0.845,0.12,0.0,0.0,0.0,0.027,0.015,0.0,0.838,0.039,0.0,0.0,0.0,0.118,0.062,0.0,0.781,0.027,0.0,0.0,0.0,0.073,0.027,0.0,0.873,0.062,0.0,0.0,0.0,0.035,0.007,0.0,0.896
