Pistachio_Index,tip_Closest_50_1,tip_Closest_50_2,tip_Closest_50_3,tip_Closest_50_4,tip_Closest_50_5,tip_Closest_50_6,tip_Closest_50_7,tip_Closest_50_8,Status,Status Color,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,tip_Farthest_50_1,tip_Farthest_50_2,tip_Farthest_50_3,tip_Farthest_50_4,tip_Farthest_50_5,tip_Farthest_50_6,tip_Farthest_50_7,tip_Farthest_50_8,tip_Closest_30_1,tip_Closest_30_2,tip_Closest_30_3,tip_Closest_30_4,tip_Closest_30_5,tip_Closest_30_6,tip_Closest_30_7,tip_Closest_30_8,tip_Farthest_30_1,tip_Farthest_30_2,tip_Farthest_30_3,tip_Farthest_30_4,tip_Farthest_30_5,tip_Farthest_30_6,tip_Farthest_30_7,tip_Farthest_30_8,tip_Farthest_70_1,tip_Farthest_70_2,tip_Farthest_70_3,tip_Farthest_70_4,tip_Farthest_70_5,tip_Farthest_70_6,tip_Farthest_70_7,tip_Farthest_70_8,tip_Closest_70_1,tip_Closest_70_2,tip_Closest_70_3,tip_Closest_70_4,tip_Closest_70_5,tip_Closest_70_6,tip_Closest_70_7,tip_Closest_70_8
CT2-A1-full_11,0.033,0.0,0.0,0.0,0.084,0.009,0.001,0.872,Filled,#5dde6a,0.052,0.0,0.0,0.0,0.114,0.016,0.0,0.817,0.071,0.0,0.001,0.0,0.144,0.022,0.0,0.761,0.037,0.0,0.0,0.0,0.085,0.016,0.001,0.861,0.101,0.0,0.001,0.001,0.154,0.013,0.0,0.729,0.058,0.0,0.0,0.0,0.126,0.016,0.0,0.798,0.032,0.0,0.0,0.0,0.098,0.017,0.0,0.853
CT2-A1-full_12,0.145,0.0,0.0,0.0,0.057,0.018,0.001,0.778,Filled,#5dde6a,0.135,0.0,0.0,0.0,0.082,0.013,0.0,0.769,0.125,0.0,0.0,0.0,0.107,0.007,0.0,0.761,0.158,0.0,0.0,0.0,0.062,0.016,0.001,0.762,0.145,0.0,0.0,0.0,0.13,0.01,0.0,0.715,0.125,0.0,0.0,0.0,0.091,0.011,0.0,0.773,0.131,0.0,0.0,0.0,0.062,0.014,0.0,0.793
CT2-A1-full_13,0.06,0.0,0.0,0.0,0.098,0.0,0.0,0.842,Filled,#5dde6a,0.064,0.0,0.0,0.0,0.116,0.002,0.0,0.818,0.068,0.0,0.0,0.0,0.134,0.003,0.0,0.795,0.063,0.0,0.0,0.0,0.125,0.0,0.0,0.812,0.077,0.0,0.0,0.0,0.174,0.002,0.0,0.747,0.064,0.0,0.0,0.0,0.112,0.003,0.0,0.821,0.058,0.0,0.0,0.0,0.091,0.002,0.0,0.849
CT2-A1-full_14,0.114,0.0,0.0,0.0,0.051,0.001,0.0,0.835,Filled,#5dde6a,0.092,0.0,0.0,0.0,0.073,0.001,0.0,0.835,0.07,0.0,0.0,0.0,0.095,0.001,0.0,0.835,0.119,0.0,0.0,0.0,0.056,0.001,0.0,0.824,0.067,0.0,0.0,0.0,0.123,0.001,0.0,0.809,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.84,0.102,0.0,0.0,0.0,0.051,0.001,0.0,0.846
CT2-A1-full_15,0.086,0.0,0.0,0.0,0.072,0.001,0.0,0.84,Filled,#5dde6a,0.094,0.0,0.0,0.0,0.105,0.002,0.0,0.799,0.102,0.0,0.0,0.0,0.138,0.003,0.0,0.757,0.065,0.0,0.0,0.0,0.07,0.001,0.0,0.864,0.121,0.0,0.0,0.0,0.154,0.005,0.0,0.72,0.107,0.0,0.0,0.0,0.12,0.003,0.0,0.77,0.083,0.0,0.0,0.0,0.084,0.001,0.0,0.832
CT2-A1-full_16,0.078,0.0,0.0,0.0,0.097,0.036,0.0,0.79,Filled,#5dde6a,0.063,0.0,0.0,0.0,0.182,0.022,0.0,0.732,0.048,0.0,0.0,0.0,0.267,0.009,0.0,0.676,0.086,0.0,0.0,0.0,0.112,0.009,0.0,0.793,0.053,0.0,0.0,0.0,0.367,0.005,0.0,0.575,0.053,0.0,0.0,0.0,0.213,0.028,0.0,0.707,0.067,0.0,0.0,0.0,0.102,0.03,0.0,0.801
CT2-A1-full_17,0.06,0.0,0.0,0.0,0.049,0.005,0.0,0.886,Filled,#5dde6a,0.047,0.0,0.0,0.0,0.071,0.002,0.0,0.88,0.034,0.0,0.0,0.0,0.092,0.0,0.0,0.874,0.078,0.0,0.0,0.0,0.055,0.008,0.0,0.86,0.038,0.0,0.0,0.0,0.127,0.0,0.0,0.835,0.034,0.0,0.0,0.0,0.078,0.0,0.0,0.889,0.051,0.0,0.0,0.0,0.047,0.003,0.0,0.899
CT2-A1-full_18,0.078,0.0,0.0,0.0,0.048,0.004,0.001,0.869,Filled,#5dde6a,0.075,0.0,0.0,0.0,0.116,0.005,0.001,0.804,0.071,0.0,0.0,0.0,0.184,0.005,0.0,0.739,0.072,0.0,0.0,0.0,0.044,0.006,0.001,0.876,0.068,0.0,0.0,0.0,0.237,0.009,0.0,0.686,0.076,0.0,0.0,0.0,0.147,0.004,0.0,0.773,0.078,0.0,0.0,0.0,0.065,0.003,0.001,0.854
CT2-A1-full_19,0.053,0.0,0.0,0.0,0.053,0.0,0.0,0.894,Filled,#5dde6a,0.048,0.0,0.0,0.0,0.08,0.001,0.0,0.871,0.044,0.0,0.0,0.0,0.107,0.001,0.0,0.848,0.064,0.0,0.0,0.0,0.064,0.0,0.0,0.872,0.051,0.0,0.0,0.0,0.142,0.0,0.0,0.807,0.042,0.0,0.0,0.0,0.087,0.001,0.0,0.871,0.047,0.0,0.0,0.0,0.053,0.001,0.0,0.899
CT2-A1-full_20,0.078,0.0,0.0,0.0,0.043,0.027,0.001,0.85,Filled,#5dde6a,0.05,0.0,0.0,0.0,0.049,0.067,0.001,0.832,0.022,0.0,0.0,0.0,0.055,0.106,0.001,0.815,0.118,0.0,0.0,0.0,0.048,0.043,0.0,0.791,0.027,0.0,0.0,0.0,0.08,0.145,0.0,0.748,0.021,0.0,0.0,0.0,0.05,0.077,0.001,0.85,0.06,0.0,0.0,0.0,0.036,0.034,0.001,0.868
CT2-A1-full_21,0.055,0.0,0.0,0.0,0.104,0.0,0.0,0.84,Filled,#5dde6a,0.068,0.0,0.0,0.0,0.122,0.002,0.0,0.808,0.08,0.0,0.0,0.0,0.141,0.004,0.0,0.775,0.057,0.0,0.0,0.0,0.118,0.0,0.0,0.825,0.086,0.0,0.0,0.0,0.147,0.007,0.0,0.76,0.072,0.0,0.0,0.0,0.124,0.003,0.0,0.8,0.06,0.0,0.0,0.0,0.112,0.0,0.0,0.828
CT2-A1-full_22,0.137,0.0,0.0,0.0,0.037,0.02,0.0,0.806,Filled,#5dde6a,0.117,0.0,0.0,0.0,0.066,0.011,0.0,0.807,0.096,0.0,0.0,0.0,0.095,0.002,0.0,0.807,0.131,0.0,0.0,0.0,0.038,0.023,0.0,0.807,0.094,0.0,0.0,0.0,0.119,0.002,0.0,0.785,0.11,0.0,0.0,0.0,0.078,0.006,0.0,0.806,0.126,0.0,0.0,0.0,0.043,0.015,0.0,0.816
CT2-A1-full_23,0.095,0.0,0.0,0.0,0.057,0.001,0.0,0.847,Filled,#5dde6a,0.062,0.0,0.0,0.0,0.074,0.015,0.0,0.849,0.029,0.0,0.0,0.0,0.091,0.03,0.0,0.851,0.145,0.0,0.0,0.0,0.045,0.001,0.0,0.809,0.037,0.0,0.0,0.0,0.119,0.05,0.0,0.794,0.026,0.0,0.0,0.0,0.087,0.021,0.0,0.866,0.073,0.0,0.0,0.0,0.055,0.001,0.0,0.872
CT2-A1-full_24,0.108,0.0,0.0,0.0,0.069,0.048,0.0,0.775,Filled,#5dde6a,0.084,0.0,0.0,0.0,0.104,0.044,0.0,0.769,0.06,0.0,0.0,0.0,0.138,0.039,0.0,0.762,0.124,0.0,0.0,0.0,0.063,0.001,0.0,0.813,0.06,0.0,0.0,0.0,0.155,0.0,0.0,0.784,0.067,0.0,0.0,0.0,0.121,0.062,0.0,0.75,0.095,0.0,0.0,0.0,0.081,0.062,0.0,0.762
CT2-A1-full_25,0.077,0.0,0.0,0.0,0.113,0.005,0.001,0.804,Filled,#5dde6a,0.086,0.0,0.0,0.0,0.134,0.01,0.001,0.769,0.096,0.0,0.0,0.0,0.155,0.015,0.0,0.733,0.077,0.0,0.0,0.0,0.109,0.007,0.002,0.806,0.096,0.0,0.0,0.0,0.147,0.021,0.0,0.737,0.09,0.0,0.0,0.0,0.145,0.011,0.0,0.753,0.082,0.0,0.0,0.0,0.128,0.006,0.001,0.783
CT2-A1-full_26,0.058,0.0,0.0,0.0,0.062,0.043,0.001,0.835,Filled,#5dde6a,0.074,0.0,0.0,0.0,0.093,0.024,0.0,0.808,0.091,0.0,0.0,0.0,0.124,0.004,0.0,0.78,0.056,0.0,0.0,0.0,0.068,0.018,0.001,0.856,0.069,0.0,0.0,0.0,0.151,0.007,0.0,0.773,0.082,0.0,0.0,0.0,0.104,0.027,0.0,0.787,0.077,0.0,0.0,0.0,0.069,0.031,0.001,0.822
CT2-A1-full_27,0.089,0.0,0.0,0.0,0.032,0.126,0.001,0.753,Filled,#5dde6a,0.099,0.0,0.0,0.0,0.079,0.064,0.0,0.757,0.109,0.0,0.0,0.0,0.126,0.003,0.0,0.762,0.084,0.0,0.0,0.0,0.04,0.15,0.001,0.725,0.135,0.0,0.0,0.0,0.159,0.004,0.0,0.702,0.105,0.0,0.0,0.0,0.096,0.027,0.0,0.771,0.083,0.0,0.0,0.0,0.045,0.09,0.001,0.781
CT2-A1-full_28,0.097,0.001,0.001,0.001,0.052,0.298,0.002,0.549,Filled,#5dde6a,0.1,0.0,0.0,0.0,0.084,0.177,0.001,0.637,0.104,0.0,0.0,0.0,0.117,0.054,0.0,0.726,0.094,0.001,0.001,0.001,0.049,0.336,0.001,0.516,0.135,0.0,0.0,0.0,0.12,0.027,0.0,0.718,0.103,0.0,0.0,0.0,0.099,0.108,0.001,0.689,0.086,0.0,0.001,0.001,0.069,0.24,0.001,0.603
CT2-A1-full_29,0.087,0.0,0.0,0.0,0.104,0.01,0.0,0.799,Filled,#5dde6a,0.074,0.0,0.0,0.0,0.145,0.007,0.0,0.775,0.061,0.0,0.0,0.0,0.185,0.004,0.0,0.75,0.098,0.0,0.0,0.0,0.116,0.001,0.0,0.784,0.059,0.0,0.0,0.0,0.238,0.006,0.0,0.697,0.063,0.0,0.0,0.0,0.157,0.009,0.0,0.771,0.08,0.0,0.0,0.0,0.105,0.007,0.0,0.808
CT2-A1-full_30,0.094,0.0,0.0,0.0,0.043,0.092,0.005,0.767,Filled,#5dde6a,0.066,0.0,0.0,0.0,0.079,0.064,0.002,0.788,0.038,0.0,0.0,0.0,0.115,0.037,0.0,0.809,0.113,0.0,0.0,0.0,0.047,0.149,0.007,0.684,0.038,0.0,0.0,0.0,0.162,0.054,0.0,0.745,0.046,0.0,0.0,0.0,0.093,0.028,0.001,0.833,0.078,0.0,0.0,0.0,0.043,0.068,0.004,0.807
CT2-A4-full_1,0.069,0.0,0.0,0.0,0.039,0.008,0.004,0.88,Filled,#5dde6a,0.074,0.0,0.0,0.0,0.078,0.006,0.002,0.838,0.079,0.0,0.0,0.001,0.118,0.005,0.001,0.797,0.074,0.0,0.0,0.0,0.043,0.005,0.004,0.874,0.093,0.0,0.0,0.001,0.157,0.005,0.001,0.743,0.074,0.0,0.0,0.001,0.094,0.007,0.001,0.823,0.066,0.0,0.0,0.0,0.045,0.007,0.003,0.88
CT2-A4-full_2,0.089,0.0,0.0,0.0,0.056,0.008,0.0,0.848,Filled,#5dde6a,0.077,0.0,0.0,0.0,0.119,0.004,0.0,0.799,0.065,0.0,0.0,0.0,0.183,0.001,0.0,0.751,0.12,0.0,0.0,0.0,0.072,0.0,0.0,0.807,0.082,0.0,0.0,0.0,0.277,0.0,0.0,0.641,0.058,0.0,0.0,0.0,0.14,0.006,0.0,0.796,0.075,0.0,0.0,0.0,0.052,0.006,0.0,0.868
CT2-A4-full_3,0.087,0.0,0.0,0.0,0.028,0.025,0.0,0.86,Filled,#5dde6a,0.073,0.0,0.0,0.0,0.047,0.069,0.0,0.811,0.059,0.0,0.0,0.0,0.065,0.113,0.0,0.763,0.126,0.0,0.0,0.0,0.03,0.037,0.0,0.807,0.075,0.0,0.0,0.0,0.085,0.113,0.0,0.727,0.05,0.0,0.0,0.0,0.054,0.083,0.0,0.813,0.072,0.0,0.0,0.0,0.03,0.05,0.0,0.848
CT2-A4-full_4,0.101,0.0,0.0,0.0,0.094,0.037,0.002,0.767,Filled,#5dde6a,0.101,0.0,0.0,0.0,0.145,0.021,0.001,0.732,0.102,0.0,0.0,0.0,0.198,0.005,0.0,0.695,0.13,0.0,0.0,0.0,0.08,0.059,0.003,0.727,0.128,0.0,0.0,0.0,0.213,0.008,0.0,0.65,0.089,0.0,0.0,0.0,0.173,0.004,0.0,0.733,0.091,0.0,0.0,0.0,0.117,0.026,0.001,0.764
CT2-A4-full_5,0.088,0.0,0.0,0.0,0.051,0.003,0.002,0.856,Filled,#5dde6a,0.081,0.0,0.0,0.0,0.087,0.006,0.001,0.825,0.074,0.0,0.0,0.0,0.123,0.009,0.0,0.794,0.114,0.0,0.0,0.0,0.053,0.005,0.004,0.824,0.083,0.0,0.0,0.0,0.169,0.012,0.0,0.736,0.067,0.0,0.0,0.0,0.101,0.007,0.0,0.826,0.08,0.0,0.0,0.0,0.052,0.004,0.002,0.862
CT2-A4-full_6,0.168,0.0,0.0,0.0,0.046,0.005,0.0,0.781,Filled,#5dde6a,0.103,0.0,0.0,0.0,0.052,0.018,0.001,0.826,0.037,0.0,0.0,0.0,0.057,0.031,0.002,0.872,0.237,0.0,0.0,0.0,0.048,0.005,0.0,0.71,0.033,0.0,0.0,0.0,0.081,0.02,0.0,0.866,0.045,0.0,0.0,0.0,0.053,0.024,0.001,0.876,0.133,0.0,0.0,0.0,0.039,0.017,0.001,0.81
CT2-A4-full_7,0.089,0.0,0.0,0.0,0.047,0.008,0.0,0.855,Filled,#5dde6a,0.062,0.0,0.0,0.0,0.078,0.01,0.0,0.85,0.036,0.0,0.0,0.0,0.109,0.011,0.0,0.845,0.124,0.0,0.0,0.0,0.053,0.012,0.0,0.812,0.046,0.0,0.0,0.0,0.163,0.014,0.0,0.777,0.036,0.0,0.0,0.0,0.089,0.009,0.0,0.866,0.07,0.0,0.0,0.0,0.042,0.008,0.0,0.881
CT2-A4-full_8,0.104,0.0,0.0,0.0,0.064,0.021,0.008,0.802,Filled,#5dde6a,0.098,0.0,0.0,0.0,0.153,0.013,0.005,0.732,0.092,0.0,0.0,0.0,0.242,0.004,0.002,0.661,0.127,0.0,0.0,0.0,0.049,0.035,0.014,0.775,0.095,0.0,0.0,0.0,0.262,0.005,0.003,0.634,0.086,0.0,0.0,0.0,0.197,0.003,0.001,0.713,0.099,0.0,0.0,0.0,0.106,0.016,0.006,0.773
CT2-A4-full_9,0.092,0.0,0.0,0.0,0.067,0.009,0.001,0.831,Filled,#5dde6a,0.071,0.0,0.0,0.0,0.094,0.007,0.0,0.827,0.05,0.0,0.0,0.0,0.122,0.005,0.0,0.823,0.106,0.0,0.0,0.0,0.081,0.002,0.0,0.811,0.054,0.0,0.0,0.0,0.168,0.002,0.0,0.777,0.056,0.0,0.0,0.0,0.1,0.01,0.001,0.834,0.078,0.0,0.0,0.0,0.062,0.01,0.001,0.849
CT2-A4-full_10,0.213,0.0,0.0,0.0,0.042,0.061,0.0,0.684,Filled,#5dde6a,0.159,0.0,0.0,0.0,0.076,0.032,0.0,0.733,0.105,0.0,0.0,0.0,0.109,0.004,0.0,0.782,0.252,0.0,0.0,0.0,0.045,0.044,0.0,0.658,0.097,0.0,0.0,0.0,0.128,0.001,0.0,0.774,0.118,0.0,0.0,0.0,0.089,0.027,0.0,0.766,0.185,0.0,0.0,0.0,0.053,0.046,0.0,0.715
CT2-A4-full_11,0.053,0.0,0.0,0.0,0.035,0.01,0.001,0.9,Filled,#5dde6a,0.068,0.0,0.0,0.0,0.046,0.053,0.001,0.832,0.084,0.0,0.0,0.0,0.058,0.096,0.0,0.763,0.051,0.0,0.0,0.0,0.034,0.006,0.001,0.909,0.108,0.0,0.0,0.0,0.082,0.098,0.0,0.712,0.076,0.0,0.0,0.0,0.051,0.073,0.001,0.798,0.052,0.0,0.0,0.0,0.031,0.034,0.001,0.882
CT2-A4-full_12,0.042,0.0,0.0,0.0,0.084,0.015,0.0,0.858,Filled,#5dde6a,0.075,0.0,0.0,0.0,0.113,0.011,0.0,0.801,0.109,0.0,0.0,0.0,0.144,0.007,0.0,0.74,0.051,0.0,0.0,0.0,0.086,0.023,0.0,0.841,0.169,0.0,0.0,0.0,0.153,0.012,0.0,0.666,0.086,0.0,0.0,0.0,0.125,0.006,0.0,0.783,0.038,0.0,0.0,0.0,0.097,0.011,0.0,0.853
CT2-A4-full_13,0.067,0.0,0.0,0.0,0.064,0.042,0.0,0.826,Filled,#5dde6a,0.072,0.0,0.0,0.0,0.127,0.024,0.0,0.777,0.076,0.0,0.0,0.0,0.191,0.006,0.0,0.727,0.061,0.0,0.0,0.0,0.065,0.029,0.001,0.845,0.08,0.0,0.0,0.0,0.263,0.008,0.0,0.648,0.077,0.0,0.0,0.0,0.154,0.022,0.0,0.747,0.068,0.0,0.0,0.0,0.069,0.031,0.0,0.832
CT2-A4-full_14,0.177,0.0,0.001,0.0,0.063,0.037,0.003,0.72,Blank,#dbc381,0.112,0.0,0.0,0.0,0.082,0.025,0.002,0.779,0.046,0.0,0.0,0.0,0.101,0.014,0.0,0.838,0.202,0.0,0.001,0.0,0.06,0.003,0.003,0.731,0.047,0.0,0.0,0.0,0.111,0.022,0.001,0.819,0.073,0.0,0.0,0.0,0.091,0.035,0.001,0.8,0.139,0.0,0.0,0.0,0.07,0.027,0.002,0.762
CT2-A4-full_15,0.118,0.0,0.0,0.0,0.047,0.0,0.0,0.834,Filled,#5dde6a,0.102,0.0,0.0,0.0,0.087,0.015,0.0,0.795,0.087,0.0,0.0,0.0,0.126,0.03,0.0,0.757,0.157,0.0,0.0,0.0,0.045,0.0,0.0,0.797,0.079,0.0,0.0,0.0,0.169,0.05,0.0,0.702,0.079,0.0,0.0,0.0,0.105,0.021,0.0,0.795,0.112,0.0,0.0,0.0,0.051,0.0,0.0,0.836
CT2-A4-full_16,0.078,0.0,0.0,0.0,0.052,0.043,0.001,0.826,Filled,#5dde6a,0.063,0.0,0.0,0.0,0.125,0.051,0.0,0.761,0.049,0.0,0.0,0.0,0.198,0.059,0.0,0.695,0.112,0.0,0.0,0.0,0.048,0.012,0.001,0.826,0.066,0.0,0.0,0.0,0.268,0.028,0.0,0.638,0.042,0.0,0.0,0.0,0.158,0.068,0.0,0.732,0.062,0.0,0.0,0.0,0.064,0.061,0.001,0.813
CT2-A4-full_17,0.059,0.0,0.0,0.0,0.046,0.013,0.002,0.881,Filled,#5dde6a,0.046,0.0,0.0,0.0,0.116,0.011,0.001,0.826,0.033,0.0,0.0,0.0,0.185,0.009,0.001,0.771,0.076,0.0,0.0,0.0,0.043,0.015,0.003,0.863,0.032,0.0,0.0,0.0,0.206,0.002,0.0,0.761,0.033,0.0,0.0,0.0,0.147,0.009,0.001,0.81,0.052,0.0,0.0,0.0,0.077,0.015,0.002,0.854
CT2-A4-full_18,0.134,0.0,0.0,0.0,0.037,0.008,0.0,0.82,Filled,#5dde6a,0.093,0.0,0.0,0.0,0.109,0.005,0.0,0.792,0.052,0.0,0.0,0.0,0.181,0.003,0.0,0.764,0.181,0.0,0.0,0.0,0.046,0.002,0.0,0.772,0.053,0.0,0.0,0.0,0.259,0.004,0.0,0.685,0.055,0.0,0.0,0.0,0.137,0.007,0.0,0.801,0.11,0.0,0.0,0.0,0.045,0.006,0.0,0.838
CT2-A4-full_19,0.041,0.0,0.0,0.001,0.037,0.111,0.037,0.772,Filled,#5dde6a,0.069,0.0,0.0,0.0,0.063,0.078,0.018,0.771,0.097,0.0,0.0,0.0,0.088,0.046,0.0,0.77,0.035,0.0,0.0,0.002,0.041,0.162,0.061,0.699,0.118,0.0,0.0,0.0,0.128,0.006,0.0,0.748,0.083,0.0,0.0,0.0,0.072,0.043,0.001,0.801,0.048,0.0,0.0,0.001,0.034,0.11,0.026,0.781
CT2-A4-full_20,0.052,0.0,0.0,0.0,0.089,0.002,0.0,0.857,Filled,#5dde6a,0.045,0.0,0.0,0.0,0.131,0.006,0.002,0.814,0.038,0.0,0.001,0.001,0.174,0.011,0.005,0.771,0.072,0.0,0.0,0.0,0.078,0.003,0.0,0.847,0.047,0.0,0.001,0.001,0.203,0.016,0.008,0.723,0.033,0.0,0.0,0.0,0.154,0.008,0.003,0.8,0.044,0.0,0.0,0.0,0.101,0.002,0.0,0.853
CT2-A4-full_21,0.109,0.0,0.0,0.0,0.073,0.001,0.0,0.816,Filled,#5dde6a,0.073,0.0,0.0,0.0,0.107,0.004,0.0,0.816,0.036,0.0,0.0,0.0,0.142,0.006,0.0,0.816,0.16,0.0,0.0,0.0,0.061,0.001,0.0,0.778,0.038,0.0,0.0,0.0,0.154,0.008,0.0,0.8,0.035,0.0,0.0,0.0,0.127,0.005,0.0,0.833,0.087,0.0,0.0,0.0,0.087,0.002,0.0,0.823
CT2-A4-full_22,0.171,0.0,0.003,0.001,0.043,0.01,0.003,0.767,Filled,#5dde6a,0.139,0.0,0.002,0.001,0.062,0.005,0.002,0.791,0.105,0.0,0.0,0.0,0.081,0.0,0.0,0.814,0.264,0.0,0.006,0.002,0.038,0.016,0.006,0.667,0.161,0.0,0.0,0.0,0.108,0.0,0.0,0.731,0.086,0.0,0.0,0.0,0.072,0.0,0.0,0.842,0.129,0.0,0.002,0.001,0.043,0.007,0.002,0.815
